timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7
1758853200000,18.400000000000002,18.303030303030305,18.580645161290324,16.88888888888889,19.692307692307693,18.4,17.285714285714285,12.380952380952381
1758853500000,19.23076923076923,20.333333333333332,19.0,16.842105263157894,19.483870967741936,18.555555555555557,17.523809523809522,12.88888888888889
1758853800000,18.838709677419356,19.294117647058822,20.413793103448274,17.272727272727273,19.866666666666667,18.896551724137932,18.285714285714285,12.714285714285714
1758854100000,19.375,20.333333333333332,19.857142857142858,17.384615384615383,19.625,19.225806451612904,18.714285714285715,12.8
1758854400000,20.0,21.076923076923077,19.294117647058822,17.93103448275862,21.12,18.91891891891892,18.4,13.67741935483871
1758854700000,19.866666666666667,20.88888888888889,20.210526315789473,17.599999999999998,21.379310344827587,19.612903225806452,19.46666666666667,13.62962962962963
1758855000000,20.545454545454547,21.666666666666668,20.18181818181818,18.666666666666668,22.133333333333333,20.0,20.88888888888889,14.444444444444445
1758855300000,21.759999999999998,22.22222222222222,22.285714285714285,18.875,22.75,21.565217391304348,20.0,14.73170731707317
1758855600000,21.759999999999998,22.833333333333332,22.8,20.59259259259259,23.571428571428573,22.333333333333332,20.0,15.243243243243242
1758855900000,22.375,23.42857142857143,23.448275862068964,19.866666666666667,24.210526315789473,22.20689655172414,20.30769230769231,15.428571428571429
1758856200000,22.608695652173914,22.58823529411765,23.125,19.866666666666667,24.34782608695652,22.322580645161292,21.0,15.636363636363637
1758856500000,22.545454545454547,24.666666666666668,23.393939393939394,20.25,23.75,23.724137931034484,21.09090909090909,16.46153846153846
1758856800000,23.384615384615383,23.40740740740741,23.75,21.82857142857143,24.761904761904763,23.483870967741936,22.18181818181818,16.615384615384617
1758857100000,23.375,24.533333333333335,23.870967741935484,20.833333333333332,25.333333333333332,23.733333333333334,21.714285714285715,15.75
1758857400000,24.6,24.761904761904763,24.545454545454547,21.818181818181817,26.714285714285715,24.4,23.25925925925926,17.428571428571427
1758857700000,24.363636363636363,25.217391304347824,24.923076923076923,21.48148148148148,26.153846153846153,24.8,23.03030303030303,16.8
1758858000000,24.869565217391305,24.952380952380953,25.655172413793103,21.6,26.967741935483872,25.517241379310345,23.151515151515152,16.34782608695652
1758858300000,24.5,25.666666666666668,26.235294117647058,22.20689655172414,27.6,25.93103448275862,23.2,17.379310344827587
1758858600000,25.6,26.074074074074073,26.235294117647058,22.51851851851852,28.0,26.074074074074073,23.375,19.272727272727273
1758858900000,25.333333333333332,27.11111111111111,27.066666666666666,22.70967741935484,28.74074074074074,26.875,24.38095238095238,18.94736842105263
1758859200000,26.782608695652172,26.967741935483872,28.333333333333332,23.483870967741936,30.2,27.333333333333332,24.8,19.333333333333332
1758859500000,26.142857142857142,27.03030303030303,27.625,24.666666666666668,29.77777777777778,27.314285714285713,25.166666666666668,19.2
1758859800000,27.23076923076923,28.6,29.565217391304348,26.285714285714285,31.03448275862069,28.64,25.419354838709676,19.333333333333332
1758860100000,27.555555555555557,28.63157894736842,29.0,26.923076923076923,30.90909090909091,29.23076923076923,25.4,19.75
1758860400000,28.545454545454547,28.5,29.5,27.225806451612904,31.586206896551722,29.714285714285715,25.53846153846154,20.52173913043478
1758860700000,27.733333333333334,28.421052631578945,30.620689655172413,27.612903225806452,32.38095238095238,30.46153846153846,26.285714285714285,21.375
1758861000000,27.870967741935484,28.857142857142858,31.57142857142857,27.870967741935484,32.0,31.47826086956522,26.956521739130434,25.333333333333332
1758861300000,28.17391304347826,29.263157894736842,31.0,26.428571428571427,33.03703703703704,31.42857142857143,26.434782608695652,24.0
1758861600000,28.63157894736842,29.904761904761905,30.375,26.823529411764707,33.45454545454545,31.714285714285715,27.03448275862069,20.210526315789473
1758861900000,27.866666666666667,29.833333333333332,30.880000000000003,26.714285714285715,33.333333333333336,31.857142857142858,26.666666666666664,19.636363636363637
1758862200000,27.733333333333334,30.166666666666668,32.333333333333336,27.57142857142857,33.523809523809526,31.69230769230769,27.733333333333334,20.19047619047619
1758862500000,28.90909090909091,31.0,32.8421052631579,27.066666666666666,33.875,32.54545454545455,27.85185185185185,20.18181818181818
1758862800000,29.77777777777778,30.8,32.57142857142857,27.833333333333336,34.333333333333336,33.5,28.5,21.037037037037038
